,Code,Title
481,1C8G.1,Central European tick-borne encephalitis
482,1C8G.2,Siberian tick-borne encephalitis
483,1C8G.Z,"Tick-borne encephalitis, unspecified"
484,1C8H,"Viral myelitis, not elsewhere classified"
485,1C8Y,Other specified viral infections of the central nervous system
486,1C8Z,"Viral infections of the central nervous system, unspecified"
488,1D00,"Infectious encephalitis, not elsewhere classified"
489,1D00.0,Bacterial encephalitis
490,1D00.1,Fungal encephalitis
491,1D00.2,Parasitic or protozoal encephalitis
492,1D00.Y,"Other specified infectious encephalitis, not elsewhere classified"
493,1D00.Z,"Infectious encephalitis, unspecified"
494,1D01,"Infectious meningitis, not elsewhere classified"
495,1D01.0,Bacterial meningitis
496,1D01.00,Meningitis due to Haemophilus influenzae
497,1D01.0Y,Other specified bacterial meningitis
498,1D01.0Z,"Bacterial meningitis, unspecified"
499,1D01.1,Fungal meningitis
500,1D01.2,Parasitic or protozoal meningitis
501,1D01.3,Benign recurrent meningitis
502,1D01.Y,"Other specified infectious meningitis, not elsewhere classified"
503,1D01.Z,"Infectious meningitis, unspecified"
504,1D02,"Infectious myelitis, not elsewhere classified"
505,1D02.0,Bacterial myelitis
506,1D02.2,Fungal myelitis
507,1D02.3,Parasitic myelitis
508,1D02.Y,"Other specified infectious myelitis, not elsewhere classified"
509,1D02.Z,"Infectious myelitis, unspecified"
510,1D03,Infectious abscess of the central nervous system
511,1D03.0,Intraspinal intramedullary abscess
512,1D03.1,Intraspinal subdural abscess
513,1D03.2,Intraspinal extradural abscess
514,1D03.3,Intracranial abscess
515,1D03.30,Deep cerebral hemispheric abscess
516,1D03.31,Abscess of the corpus callosum
517,1D03.32,Pituitary abscess
518,1D03.33,Multiple or widespread intracranial abscess
519,1D03.3Y,Other specified intracranial abscess
520,1D03.3Z,"Intracranial abscess, unspecified"
521,1D03.4,Intraspinal epidural abscess
522,1D03.5,Spinal cord abscess
523,1D03.Y,Other specified site of infectious abscess of the central nervous system
524,1D03.Z,"Infectious abscess of the central nervous system, site unspecified"
525,1D04,Infectious granulomas of the central nervous system
526,1D04.0,Parasitic intracerebral granuloma
527,1D04.1,Intracranial granuloma
528,1D04.10,Fungal intracranial granuloma
529,1D04.1Y,Other specified intracranial granuloma
530,1D04.1Z,"Intracranial granuloma, unspecified"
531,1D04.2,Intraspinal intramedullary granuloma
532,1D04.3,Intraspinal subdural granuloma
533,1D04.4,Intraspinal extradural granuloma
534,1D04.5,Intraspinal epidural granuloma
535,1D04.Y,Other specified site of infectious granulomas of the central nervous system
536,1D04.Z,"Infectious granulomas of the central nervous system, site unspecified"
537,1D05,Infectious cysts of the central nervous system
538,1D05.0,Epidural infectious cyst
539,1D05.1,Subdural infectious cyst
540,1D05.Y,Other specified infectious cysts of the central nervous system
541,1D05.Z,"Infectious cysts of the central nervous system, unspecified"
542,1D0Y,Other specified non-viral and unspecified infections of the central nervous system
543,1D0Z,"Non-viral and unspecified infections of the central nervous system, unspecified"
545,1D20,Dengue without warning signs
546,1D21,Dengue with warning signs
547,1D22,Severe dengue
548,1D2Z,"Dengue fever, unspecified"
550,1D40,Chikungunya virus disease
551,1D41,Colorado tick fever
552,1D42,O'nyong-nyong fever
553,1D43,Oropouche virus disease
554,1D44,Rift Valley fever
555,1D45,Sandfly fever
556,1D46,West Nile virus infection
557,1D47,Yellow fever
558,1D48,Zika virus disease
559,1D49,Crimean-Congo haemorrhagic fever
560,1D4A,Omsk haemorrhagic fever
561,1D4B,Kyasanur Forest disease
562,1D4C,Alkhurma haemorrhagic fever
563,1D4D,Ross River disease
564,1D4E,Severe fever with thrombocytopenia syndrome
565,1D4Y,Other specified arthropod-borne viral fevers
566,1D4Z,"Arthropod-borne viral fever, virus unspecified"
568,1D60,Filovirus disease
569,1D60.0,Ebola disease
570,1D60.00,Bundibugyo virus disease
571,1D60.01,Ebola virus disease
572,1D60.02,Sudan virus disease
573,1D60.03,Atypical Ebola disease
574,1D60.0Y,Other specified Ebola disease
575,1D60.0Z,"Ebola disease, virus unspecified"
576,1D60.1,Marburg disease
577,1D60.10,Marburg virus disease
578,1D60.11,Atypical Marburg disease
579,1D60.1Y,Other specified Marburg disease
580,1D60.1Z,"Marburg disease, virus unspecified"
581,1D60.Y,Other specified filovirus disease
582,1D60.Z,"Filovirus disease, virus unspecified"
583,1D61,Arenavirus disease
584,1D61.0,Argentinian haemorrhagic fever
585,1D61.1,Bolivian haemorrhagic fever
586,1D61.2,Lassa fever
587,1D61.3,Venezuelan haemorrhagic fever
588,1D61.Y,Other specified arenavirus disease
589,1D61.Z,"Arenavirus disease, unspecified"
590,1D62,Hantavirus disease
591,1D62.0,Haemorrhagic fever with renal syndrome
592,1D62.1,Hantavirus pulmonary syndrome
593,1D62.2,Atypical hantavirus disease
594,1D62.Y,Other specified hantavirus disease
595,1D62.Z,"Hantavirus disease, unspecified"
596,1D63,Henipavirus encephalitis
597,1D64,Middle East respiratory syndrome
598,1D65,Severe acute respiratory syndrome
599,1D6Y,Other specified zoonotic viral diseases
600,1D6Z,"Zoonotic viral disease, virus unspecified"
602,1D80,Mumps
603,1D80.0,Mumps without complication
604,1D80.1,Orchitis due to mumps virus
605,1D80.2,Meningitis due to mumps virus
606,1D80.3,Encephalitis due to mumps virus
607,1D80.4,Pancreatitis due to mumps virus
608,1D80.Y,Other specified mumps
609,1D81,Infectious mononucleosis
610,1D81.0,Mononucleosis due to Epstein-Barr virus
611,1D81.1,Mononucleosis due to cytomegalovirus
612,1D81.Y,Other specified infectious mononucleosis
613,1D81.Z,"Infectious mononucleosis, unspecified"
614,1D82,Cytomegaloviral disease
615,1D82.0,Cytomegaloviral hepatitis
616,1D82.1,Cytomegaloviral pancreatitis
617,1D82.Y,Other specified cytomegaloviral disease
618,1D82.Z,"Cytomegaloviral disease, unspecified"
619,1D83,Epidemic myalgia
620,1D84,Viral conjunctivitis
621,1D84.0,Conjunctivitis due to adenovirus
622,1D84.1,Acute epidemic haemorrhagic conjunctivitis
623,1D84.Y,Other specified viral conjunctivitis
624,1D84.Z,"Viral conjunctivitis, unspecified"
625,1D85,Viral carditis
626,1D85.0,Dilated cardiomyopathy secondary to viral myocarditis
627,1D85.1,Acute viral carditis
628,1D85.2,Chronic viral carditis
629,1D85.3,Aseptic myocarditis of newborn
630,1D85.4,Coxsackie carditis
631,1D85.Y,Other specified viral carditis
632,1D85.Z,"Viral carditis, unspecified"
633,1D86,"Viral haemorrhagic fever, not elsewhere classified"
635,1D90,Adenovirus infection of unspecified site
636,1D91,Enterovirus infection of unspecified site
637,1D92,"Coronavirus infection, unspecified site"
